season,week,tm_id,tm,tm_score,opp_score,opp_id,opp,result,win_loss,season_type
2020,1,4,JP,149.36,117.34,10,Zac,1,W,Regular
2020,1,4,JP,149.36,117.34,10,Zac,1,W,Regular
2020,1,6,Aviel,139.02,164.28,8,Hosta,0,L,Regular
2020,1,6,Aviel,139.02,164.28,8,Hosta,0,L,Regular
2020,1,2,Montel,131.8,129.38,12,Randal,1,W,Regular
2020,1,2,Montel,131.8,129.38,12,Randal,1,W,Regular
2020,1,1,Tom,115.5,153.9,5,Patrick,0,L,Regular
2020,1,1,Tom,115.5,153.9,5,Patrick,0,L,Regular
2020,1,7,Conor,132.84,103.8,3,Tommy,1,W,Regular
2020,1,7,Conor,132.84,103.8,3,Tommy,1,W,Regular
2020,1,12,Randal,129.38,131.8,2,Montel,0,L,Regular
2020,1,12,Randal,129.38,131.8,2,Montel,0,L,Regular
2020,1,9,Naad,123.6,169.8,11,Logan,0,L,Regular
2020,1,9,Naad,123.6,169.8,11,Logan,0,L,Regular
2020,1,8,Hosta,164.28,139.02,6,Aviel,1,W,Regular
2020,1,8,Hosta,164.28,139.02,6,Aviel,1,W,Regular
2020,1,5,Patrick,153.9,115.5,1,Tom,1,W,Regular
2020,1,5,Patrick,153.9,115.5,1,Tom,1,W,Regular
2020,1,11,Logan,169.8,123.6,9,Naad,1,W,Regular
2020,1,11,Logan,169.8,123.6,9,Naad,1,W,Regular
2020,1,3,Tommy,103.8,132.84,7,Conor,0,L,Regular
2020,1,3,Tommy,103.8,132.84,7,Conor,0,L,Regular
2020,1,10,Zac,117.34,149.36,4,JP,0,L,Regular
2020,1,10,Zac,117.34,149.36,4,JP,0,L,Regular
2020,2,4,JP,170.5,162.6,6,Aviel,1,W,Regular
2020,2,4,JP,170.5,162.6,6,Aviel,1,W,Regular
2020,2,6,Aviel,162.6,170.5,4,JP,0,L,Regular
2020,2,6,Aviel,162.6,170.5,4,JP,0,L,Regular
2020,2,2,Montel,146.52,192.9,8,Hosta,0,L,Regular
2020,2,2,Montel,146.52,192.9,8,Hosta,0,L,Regular
2020,2,1,Tom,145.14,152.26,9,Naad,0,L,Regular
2020,2,1,Tom,145.14,152.26,9,Naad,0,L,Regular
2020,2,7,Conor,134.38,134.58,5,Patrick,0,L,Regular
2020,2,7,Conor,134.38,134.58,5,Patrick,0,L,Regular
2020,2,12,Randal,113.82,146.1,10,Zac,0,L,Regular
2020,2,12,Randal,113.82,146.1,10,Zac,0,L,Regular
2020,2,9,Naad,152.26,145.14,1,Tom,1,W,Regular
2020,2,9,Naad,152.26,145.14,1,Tom,1,W,Regular
2020,2,8,Hosta,192.9,146.52,2,Montel,1,W,Regular
2020,2,8,Hosta,192.9,146.52,2,Montel,1,W,Regular
2020,2,5,Patrick,134.58,134.38,7,Conor,1,W,Regular
2020,2,5,Patrick,134.58,134.38,7,Conor,1,W,Regular
2020,2,11,Logan,103.56,161.7,3,Tommy,0,L,Regular
2020,2,11,Logan,103.56,161.7,3,Tommy,0,L,Regular
2020,2,3,Tommy,161.7,103.56,11,Logan,1,W,Regular
2020,2,3,Tommy,161.7,103.56,11,Logan,1,W,Regular
2020,2,10,Zac,146.1,113.82,12,Randal,1,W,Regular
2020,2,10,Zac,146.1,113.82,12,Randal,1,W,Regular
2020,3,4,JP,119.62,177.74,8,Hosta,0,L,Regular
2020,3,4,JP,119.62,177.74,8,Hosta,0,L,Regular
2020,3,6,Aviel,169.36,97.7,12,Randal,1,W,Regular
2020,3,6,Aviel,169.36,97.7,12,Randal,1,W,Regular
2020,3,2,Montel,122.92,173.18,10,Zac,0,L,Regular
2020,3,2,Montel,122.92,173.18,10,Zac,0,L,Regular
2020,3,1,Tom,119,176.6,7,Conor,0,L,Regular
2020,3,1,Tom,119,176.6,7,Conor,0,L,Regular
2020,3,7,Conor,176.6,119,1,Tom,1,W,Regular
2020,3,7,Conor,176.6,119,1,Tom,1,W,Regular
2020,3,12,Randal,97.7,169.36,6,Aviel,0,L,Regular
2020,3,12,Randal,97.7,169.36,6,Aviel,0,L,Regular
2020,3,9,Naad,133.28,114.72,3,Tommy,1,W,Regular
2020,3,9,Naad,133.28,114.72,3,Tommy,1,W,Regular
2020,3,8,Hosta,177.74,119.62,4,JP,1,W,Regular
2020,3,8,Hosta,177.74,119.62,4,JP,1,W,Regular
2020,3,5,Patrick,151.78,83.64,11,Logan,1,W,Regular
2020,3,5,Patrick,151.78,83.64,11,Logan,1,W,Regular
2020,3,11,Logan,83.64,151.78,5,Patrick,0,L,Regular
